"Datum und Uhrzeit" Gesamtanlage[kWh] "  FX" "  FM" " RSK" RSKF " SDK" SHK_TAG "  NM" " VPM" "  PM" " TMK" " UPM" " TXK" " TNK" " TGK"
01.01.2019 1.71013 15.2 4.8 1.6 8 0.0 0 7.9 7.1 965.6 4.1 87.0 5.2 2.7 1.9
02.01.2019 0.02722 17.0 6.0 0.6 8 0.7 0 7.0 5.0 965.5 0.4 78.0 3.2 -2.1 -4.8
03.01.2019 0.49862 10.1 4.1 0.0 8 2.9 0 7.4 3.9 971.2 -1.9 73.0 -0.6 -3.1 -4.4
04.01.2019 0.00908 12.1 4.2 5.0 8 0.0 0 7.7 4.8 970.3 -1.1 85.0 -0.3 -1.7 -2.2
05.01.2019 5e-05 16.1 6.5 22.1 8 0.0 5 7.6 5.9 963.8 0.0 96.0 1.0 -0.9 -0.8
06.01.2019 0.00017 10.5 4.2 4.7 8 0.0 9 7.6 6.4 965.5 1.2 96.0 1.8 0.7 -0.2
07.01.2019 0.00404 9.6 3.4 2.0 8 0.0 7 8.0 6.3 967.6 1.4 93.0 2.1 0.7 -0.2
08.01.2019 0.74804 18.7 7.3 3.9 8 0.5 6 7.7 6.1 954.1 2.3 85.0 4.5 0.8 -0.2
09.01.2019 7e-05 16.6 5.4 15.8 8 0.0 6 7.3 5.5 948.9 -0.2 92.0 1.8 -1.5 -0.2
10.01.2019 0 8.2 3.4 3.7 8 0.0 21 7.5 5.1 956.7 -1.3 92.0 0.1 -3.5 -0.2
11.01.2019 0 12.7 3.5 4.6 8 0.0 22 7.8 4.2 961.1 -2.6 83.0 -1.0 -4.1 -0.2
12.01.2019 0 15.1 6.1 6.0 8 0.1 25 7.9 5.8 958.1 1.2 87.0 2.9 -1.1 -0.2
13.01.2019 0.00035 21.3 7.4 8.1 8 0.0 16 7.9 6.7 946.7 2.9 89.0 5.4 1.4 -0.2
14.01.2019 2.32873 15.9 5.6 6.1 8 0.0 7 7.4 6.4 947.5 2.2 89.0 4.7 -0.1 -0.2
15.01.2019 0.25179 12.3 4.8 0.0 7 0.2 7 8.0 5.1 958.3 1.5 76.0 3.4 -0.8 -0.9
16.01.2019 1.7737 6.1 2.4 0.0 0 8.1 6 6.3 5.0 952.7 2.7 68.0 7.5 -0.9 -3.1
17.01.2019 3.88227 14.3 5.0 1.0 8 1.9 5 7.7 5.8 947.1 5.0 66.0 8.3 1.9 -2.7
18.01.2019 4.74203 10.2 3.1 0.1 8 1.5 3 7.4 4.5 955.2 -0.2 75.0 2.2 -2.9 -7.0
19.01.2019 4.70748 7.2 2.3 0.0 0 5.8 3 6.4 3.7 952.9 -3.2 78.0 -0.1 -6.0 -10.2
20.01.2019 4.99974 3.7 1.3 0.0 8 2.7 3 6.0 3.8 952.4 -4.4 85.0 -1.5 -8.0 -10.8
21.01.2019 1.07724 4.3 1.7 0.0 7 0.0 3 8.0 4.3 956.2 -2.8 85.0 -1.9 -3.5 -4.6
22.01.2019 1.79997 6.5 2.0 0.0 7 0.0 3 8.0 4.1 948.1 -3.5 87.0 -1.2 -5.1 -4.9
23.01.2019 2.02738 4.4 1.8 0.0 7 0.0 3 8.0 3.7 936.7 -4.1 83.0 -3.3 -5.0 -4.7
24.01.2019 5.99682 6.5 1.8 0.1 7 1.8 3 7.3 3.7 945.1 -2.8 74.0 -0.4 -4.4 -5.1
25.01.2019 3.56289 9.7 3.2 0.7 8 1.0 4 7.8 3.4 953.1 -3.8 74.0 -2.6 -4.7 -7.3
26.01.2019 3.8815 14.4 5.0 1.2 8 0.0 5 7.7 5.6 949.2 1.8 79.0 4.7 -3.1 -4.1
27.01.2019 5.13038 13.4 3.2 0.4 8 0.0 0 7.9 6.2 935.2 4.1 75.0 7.1 2.1 -1.3
28.01.2019 5.96937 16.2 6.5 0.3 8 1.0 0 7.6 5.0 937.5 1.8 72.0 3.7 0.2 -0.5
29.01.2019 7.215 9.5 3.4 0.0 7 3.4 0 6.3 4.6 943.9 0.2 74.0 3.3 -2.9 -4.5
30.01.2019 6.07765 11.9 3.2 0.0 0 0.3 0 7.8 3.8 936.1 -0.4 66.0 4.3 -4.6 -6.6
31.01.2019 9.64086 6.6 2.2 0.0 7 7.0 0 4.0 3.6 936.6 0.2 59.0 4.2 -3.6 -6.7
01.02.2019 4.90771 5.3 2.1 2.9 6 0.5 0 7.9 4.5 930.5 1.2 67.0 2.7 -0.2 -1.4
02.02.2019 5.70819 5.7 1.7 10.5 8 0.0 0 8.0 6.9 935.2 3.1 90.0 5.9 0.7 -0.4
03.02.2019 0.00028 8.2 3.1 20.8 7 0.0 1 7.8 5.8 950.1 -0.1 96.0 1.7 -1.5 -0.1
04.02.2019 0.01825 6.6 1.9 0.0 7 4.3 20 5.8 5.0 965.5 -1.0 88.0 2.3 -4.5 -0.9
05.02.2019 0.02041 4.6 1.7 0.0 6 5.7 13 6.5 4.5 965.8 -2.3 89.0 2.5 -3.9 -1.7
06.02.2019 0.01635 4.1 1.7 0.0 8 5.5 10 7.8 4.1 963.9 -4.2 91.0 -1.2 -6.6 -2.3
07.02.2019 0.02351 9.9 1.8 4.8 6 2.4 10 7.8 5.5 955.6 -0.3 89.0 4.5 -5.6 -2.9
08.02.2019 9.89436 6.8 2.8 0.0 0 8.3 5 6.6 5.6 956.8 4.5 69.0 9.2 1.7 -3.3
09.02.2019 11.17967 16.9 4.6 0.4 6 5.0 4 7.7 6.2 952.8 6.4 64.0 9.7 0.8 -5.0
10.02.2019 9.37432 22.1 4.2 1.8 8 4.3 0 7.7 5.9 945.0 7.7 59.0 15.2 4.1 0.7
11.02.2019 3.00121 18.2 6.1 6.3 8 0.0 0 7.1 5.9 954.3 2.0 84.0 4.7 0.0 -1.3
12.02.2019 8.04274 11.5 3.9 0.0 8 0.1 0 7.5 4.9 969.8 1.4 73.0 3.2 -0.1 -2.4
13.02.2019 13.3498 5.4 1.8 0.0 0 8.5 0 4.8 4.7 973.8 2.6 65.0 8.0 -0.9 -3.3
14.02.2019 11.90793 4.4 1.4 0.0 0 8.7 0 4.3 5.1 973.5 3.5 68.0 11.3 -1.5 -3.5
15.02.2019 13.7862 5.8 2.0 0.0 0 9.9 0 1.1 5.5 970.8 4.1 70.0 12.6 -1.4 -4.1
16.02.2019 14.07123 5.8 1.6 0.0 0 9.8 0 1.8 4.9 966.8 5.5 60.0 15.8 -2.1 -4.7
17.02.2019 14.71933 4.9 1.7 0.0 0 10.2 0 2.1 4.3 963.7 6.6 50.0 17.3 -1.7 -4.7
18.02.2019 15.14606 4.0 1.4 0.0 0 10.2 0 0.0 4.7 959.2 4.9 58.0 14.8 -1.8 -5.4
19.02.2019 13.5129 10.4 2.7 0.1 6 6.0 0 6.2 6.1 958.8 7.2 60.0 12.8 1.0 -2.9
20.02.2019 10.10413 5.7 1.4 0.0 0 1.3 0 7.9 7.5 962.3 7.0 75.0 10.0 5.0 1.3
21.02.2019 12.80685 7.2 2.3 2.0 6 4.7 0 7.0 7.3 965.7 8.4 67.0 12.8 4.1 0.5
22.02.2019 7.20515 8.8 3.3 0.8 6 0.4 0 7.1 8.5 970.2 7.3 83.0 9.8 2.7 0.5
23.02.2019 17.72859 10.4 3.8 0.0 0 9.9 0 2.5 3.5 975.1 1.4 53.0 5.7 -1.7 -3.8
24.02.2019 14.94794 6.2 2.4 0.0 0 6.6 0 3.3 3.3 974.4 1.4 49.0 6.5 -3.2 -5.8
25.02.2019 17.00331 6.2 1.9 0.0 0 10.0 0 3.2 5.6 974.0 5.1 63.0 13.6 -1.7 -4.5
26.02.2019 17.23041 4.5 1.5 0.0 0 9.5 0 6.8 6.5 970.9 7.5 67.0 16.0 -0.1 -3.0
27.02.2019 17.3415 5.0 1.5 0.0 0 10.5 0 2.0 5.9 965.1 9.3 54.0 17.7 2.1 -1.3
28.02.2019 18.66573 17.0 5.0 1.1 6 10.4 0 1.7 6.2 956.5 11.6 47.0 18.1 3.3 -1.0
01.03.2019 5.57182 18.1 5.0 3.7 6 0.0 0 7.7 8.2 953.9 7.3 81.0 9.8 6.2 5.2
02.03.2019 5.10461 10.0 3.7 0.0 6 0.2 0 7.7 7.5 956.2 6.7 77.0 9.2 5.2 3.9
03.03.2019 17.92956 14.6 4.6 0.0 0 7.2 0 7.6 6.9 953.4 10.2 57.0 14.2 7.0 5.2
04.03.2019 10.86138 23.9 6.4 1.7 6 4.2 0 7.2 5.8 943.5 9.1 52.0 16.9 4.5 1.9
05.03.2019 14.75442 18.7 6.2 4.8 6 3.6 0 6.4 6.1 950.2 5.9 67.0 9.6 3.8 1.5
06.03.2019 17.81689 8.4 3.0 0.0 0 6.2 0 7.5 7.0 947.7 8.4 66.0 13.6 2.9 0.4
07.03.2019 8.19041 15.9 4.2 1.0 6 3.3 0 6.9 6.9 943.7 9.3 60.0 12.6 7.2 4.4
08.03.2019 13.81561 16.0 5.2 0.0 6 5.0 0 6.6 6.2 954.2 7.6 60.0 10.2 5.6 3.2
09.03.2019 9.41995 20.9 7.1 3.5 6 0.2 0 7.7 7.5 956.2 9.0 65.0 11.4 6.1 4.1
10.03.2019 8.45443 24.6 7.8 3.2 8 1.5 0 6.7 8.7 951.2 10.1 70.0 14.1 4.4 2.4
11.03.2019 5.20192 21.7 6.1 4.8 8 1.6 0 5.2 5.3 957.7 2.4 74.0 5.1 -0.3 -0.6
12.03.2019 19.3113 12.3 4.3 0.0 6 7.2 0 6.5 4.4 958.5 5.0 52.0 9.6 1.4 0.3
13.03.2019 18.74118 19.6 6.4 1.1 8 6.0 0 6.1 5.6 950.3 5.9 62.0 10.7 3.3 2.4
14.03.2019 7.18909 19.8 7.3 3.8 6 0.0 0 7.7 6.5 948.3 4.4 78.0 6.1 3.0 1.9
15.03.2019 4.72176 20.3 6.9 9.9 6 0.0 0 7.4 8.5 949.1 7.1 84.0 10.5 4.0 2.4
16.03.2019 13.96502 19.7 7.3 0.0 6 4.3 0 6.3 7.8 951.2 11.9 57.0 16.0 9.4 7.2
17.03.2019 23.41799 21.5 5.3 3.8 6 9.6 0 6.2 5.5 947.1 11.0 47.0 19.3 3.2 2.1
18.03.2019 14.10097 12.3 3.9 0.0 8 2.2 0 6.6 5.8 957.0 3.8 74.0 7.1 1.7 -0.4
19.03.2019 18.82037 8.0 2.0 0.0 0 5.6 0 5.1 5.3 964.3 3.6 69.0 7.9 0.8 -2.3
20.03.2019 23.35741 6.7 1.8 0.0 0 10.3 0 1.2 4.5 970.4 4.2 58.0 9.7 -1.4 -4.8
21.03.2019 28.11888 10.3 3.1 0.0 0 11.8 0 2.8 4.6 969.8 6.0 52.0 12.8 -1.2 -4.5
22.03.2019 27.46304 6.3 1.9 0.0 0 10.6 0 3.1 5.7 967.2 8.4 54.0 16.3 0.3 -3.3
23.03.2019 27.53219 6.6 1.9 0.0 0 11.6 0 2.1 6.6 964.9 10.9 54.0 18.7 2.6 -0.8
24.03.2019 26.54267 11.5 2.5 0.0 0 11.1 0 1.0 7.4 960.5 10.8 60.0 18.1 3.3 -0.1
25.03.2019 17.77458 18.6 4.7 1.4 8 4.7 0 7.0 6.4 958.5 5.8 70.0 9.8 1.8 0.5
26.03.2019 18.52949 9.0 2.8 1.0 8 2.7 0 7.4 5.3 965.4 4.4 65.0 8.3 1.2 -0.4
27.03.2019 9.04991 7.3 1.5 0.3 8 0.1 0 7.9 6.4 968.5 4.8 75.0 7.5 1.7 1.5
28.03.2019 24.16715 7.7 2.5 0.0 0 4.8 0 7.9 7.0 969.7 8.7 63.0 12.8 4.9 3.5
29.03.2019 26.16846 8.9 3.0 0.0 0 10.8 0 1.8 7.8 967.1 9.4 68.0 15.2 4.0 0.9
